cik	year	cat
1000578	2001	541
1000578	2001	34
1000578	2001	36
1000578	2001	37
1000578	2001	42
1000578	2001	44
1000578	2001	45
1000578	2001	50
1000578	2001	51
1000578	2001	53
1000578	2001	54
1000578	2001	55
1000578	2001	56
1000578	2001	57
1000578	2001	58
1000578	2001	394
1000578	2001	565
1000578	2001	64
1000578	2001	481
1000578	2001	331
1000578	2001	80
1000578	2001	594
1000578	2001	355
1000578	2001	357
1000578	2001	873
1000578	2001	874
1000578	2001	364
1000578	2001	621
1000578	2001	366
1000578	2001	61
1000578	2001	371
1000578	2001	631
1000578	2001	633
1000578	2001	63
1000578	2001	382
1000578	2001	641
1000578	2001	131
1000578	2001	138
1000578	2001	153
1000578	2001	367
1000578	2001	421
1000578	2001	284
1000578	2001	451
1000578	2001	736
1000578	2001	483
1000578	2001	495
1000578	2001	504
1000578	2001	506
1000621	2001	15
1000621	2001	533
1000621	2001	23
1000621	2001	25
1000621	2001	26
1000621	2001	541
1000621	2001	30
1000621	2001	32
1000621	2001	33
1000621	2001	34
1000621	2001	35
1000621	2001	36
1000621	2001	37
1000621	2001	39
1000621	2001	45
1000621	2001	50
1000621	2001	51
